Comment,Sentiment
"ARE WE GREAT MEN AND WOMEN ETC IN THIS WORLD OF INDIA,PAKISTAN, ETC WHICH ARE PROMOTING BIDIS,BEEDIES,CIGARTETTES,ALCOHOL,GANJAI,GUTKA,AND CONVERTING WOMEN AS PROSTITUTES ETC..ARE WE LIVING IN GREAT UNIVERSE WHERE WOMEN ARE RAPED,HARASSESD,TORTURRED, TORTURRED FOR ADDITIONAL DOWRY AND FEW ARE KILLED,CONVERTED AS PROSTITUTES,CONVERTED AS WIDOWS BY MURDERING THEIR HUSBAD ETC ..ARE WE TRULY LIVING WITH MORALL VALUES WHICH OUR TEACHERS EDUCATE US..EVEN THE GOVERNMENT OF INDIA,PAKISTAN,ETC U.K. KNOW THAT THE BIDIS,CIGARETTES,ALCOHOL,GANJAI,GUTKA,ERTC CONVERTING WOMEN AS PRTOSTITUTION,MAKING RAPEDS,KILLING INNOCENTS ETC ARE VIOLATION OF FUNDAMENTAL RIGHTS AND HUMAN RIGHTS..
ARE THE TAERS OF WOMEN WIPED OUT BY MEN AND OTHERS,NO,NOT AT LL IN THIS UNIVERSE OF TRAGIDIES,SORROW ETC ETC..WHY ARE WE NOT PROMOTING THE CITIZENS TO LEARN THE LAWS,EXCELLENT SUBJECTS ..
MY DRAFTING,PLAEDING AND CONVEYANCE AND KNOWLEDGE OF ALL LAWS ARE NOT EXZCELLENT SO CANCEL MY EDUCATIONAL CERTIFICATES  OF NURSERY TO POST GRADUATION WHICH ARE ISSUED BY THE GOVBERNMENT OF INDIA.
WE WANT  THE GOVERNMENT -U.N.O TO ALLOT CHAT GPT TO BE  AWARDED INTERNATIONAL AWARD..EKA.SRINIVAS RAO,TS/2168/2008,H.NO:-5-8-492,EKAMADHAVARAO,KAMAREDDY-503111-TELANGANA-INDIA",positive
"Wow good think, what you think from India❤❤🇮🇳 jai hind",positive
णढतथ😊,neutral
राष्ट्रीय गीत के १५० वर्ष के पावन अवसर पर आप सभी को हार्दिक शुभकामनाएं! वन्दे मातरम्।,neutral
❤,neutral
Proud to be a Indian,positive
Me,neutral
Ffcygfdgdewtqrnd,neutral
2025 0:57,neutral
❤❤❤❤❤❤❤❤❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊❤😊❤😊😊😊❤😊😊❤❤😊❤😊❤😊😊❤😊❤😊❤❤😊❤ 0:33,neutral
Excellence school no 1 chhatarpur,positive
Hi,neutral
"Mom dad me
😊///
///
//",neutral
This SongIsBeautiful❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉❤❤❤,neutral
വൗ..😮❤,neutral
❤❤❤❤🎉🎉,neutral
Congress ❤❤❤,neutral
Free freedom salvation,positive
Bankim chandra chatarji,neutral
જય હો.,neutral
0.45,neutral
Jai Hind,neutral
Who is watch 2027,neutral
Vande Mataram 🙏 🇮🇳❤,neutral
❤,neutral
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,neutral
😮😮😮😂😂😂❤❤❤❤,neutral
👁️🇮🇳👁️ वंदे मातरम🌹👌,neutral
iam  nepali  but   i   respect  india❤❤❤,positive
We ❤ india,neutral
Jay hind,neutral
"I'm pure Indian🇮🇳🇮🇳, but the Partition of 1947 and 1907 was so sad😢😢.",neutral
😮,neutral
Hussain Kachwala 😊 one who has a great player and a great deal to be,positive
❤❤❤❤❤❤❤❤,neutral
Khalaga free fire,positive
I❤my India❤❤❤❤❤❤❤❤❤,neutral
Vandematram 🎉🎉🎉🎉🎉,neutral
Yehi hamara rashtragan hona chahiye jai hind jai bharat Ram Ram,neutral
❤❤❤❤❤,neutral
I love my india 🇮🇳🇮🇳🇮🇳🪖🪖,positive
"Iam coming from kerala 
I❤ indian",neutral
vande Maataram👏🫶🥰,neutral
🙏🏻🙏🏻🙏🏻🇮🇳🇮🇳🇮🇳🇮🇳❤️❤️❤️❤️,neutral
I'm always love  india  i love you india my india 🇮🇳 ❤️ ♥️ 💙 💜 💖 🇮🇳 you are my best friend india 🇮🇳 ❤️ ♥️ 💙 😘 💕 🇮🇳 ❤️ ♥️ 💙 😘 💕 🇮🇳 ❤️ ♥️ 💙 😘 💕 🇮🇳 ❤️ ♥️ 💙 😘 💕 🇮🇳 ❤️ ♥️ 💙 😘 💕 🇮🇳 ❤️.,positive
Nice,positive
2025 vale bhai 😑,neutral
Jay hind 🇮🇳🇮🇳,neutral
पूरा वंदे मातरम गाओ..... आधा नहीं..... @shemaroo,neutral
Kaash Vande Mataram national anthem hota😢,neutral
"Bande mataram, jay hind.",neutral
I am Japanese but I respect India,positive
Thank you so much ❤❤❤❤❤❤❤❤❤❤❤❤Indian,positive
तै प,neutral
Vande mataram❤❤❤,neutral
I already from India i love my india ❤❤❤❤ thank you 😘,positive
I am Nepali but i respect India,positive
ẞgsggsshshjsshsh3udjsdksjdoidismswkskskqowps9ddmdmdmdem3dndbdbsbdbswcfjdkfdkfjfjcjckçdkfdkdkfkdkfdkdkdkdfkkdlrrjrxnexsxdcff,neutral
"Fggvdgfddfffdfrgdvgtggrgfdelwy iry gg wrberxfxfvkfehdjfjrt6ytfsfhf4yeyrh6zbsbdbdbxbfddryjryjrbd xhdhdhefdfhfbddgbgyngdjvccNcvheyuritjyrhrth4rbvxngdndjdgjryjhtrthjeehjhnrtrtjkethkfhththtgfeydrdrshfshsfdherhdsyjsfgfsgrsyjjrryyw❤dtretrsredrm



Tyyggf❤tffhvgh❤❤❤




❤❤❤❤❤❤❤❤❤❤",positive
Vande Mataram 0:48,neutral
And Happy independence Day,positive
I am from India I love India vande Mataram to everyone,positive
I Love my india 🇮🇳 🇮🇳 🇮🇳,positive
"https://youtube.com/shorts/SH73fyleTSU?si=f8a_p05KSfdZDdke


Super. Vande mataram.",positive
🙏😢😢,neutral
യഷഷഷഷഷസൈസലൈവൽശദയരദദഹ😢,neutral
എനിക്ക് 1 st  കിട്ടി❤️❤️,neutral
Jai hind 🎉🎉🎉,neutral
Bjp should listen to our national song,neutral
Iam indian but I hate india😅😅,negative
Vande Mataram Jai Hind 🇮🇳,neutral
मां दुर्गा की पूजा वंदे मातरम गीत है समस्त हिंदुओं को आजीवन भाजपा को वोट देना चाहिए जय हिंदू राष्ट्र जय सनातन धर्म जय काशी विश्वनाथ हर हर महादेव ॐ नमः शिवाय,neutral
Jay hind jay bharat ❤❤❤🇮🇳🇮🇳🇮🇳🇮🇳yis comments ko comment hart dedo please ❤❤❤❤❤❤,positive
The last comment I love you❤,positive
The last comment I love you,positive
Here many of you are from other countries but still giving respect to India so thank you so much 😊❤,positive
Good song❤️❤️❤️❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️❤️❤️❤️,positive
This song may be national anthem...,neutral
18 September ko kon kon sunraha hai.....vo like kare🎉❤,positive
वन्दे मातरम ❤,neutral
🇮🇳🫡,neutral
Thank you all  dears first kitti❤❤,positive
Adaavaalaku nariesingu homuku adi maa pulaiah gaaniki hospitall nareshulaku jeyaihindu,neutral
I am from India ❤❤❤❤❤❤❤,neutral
❤,neutral
Darjeeling is known as a nepali place where all nepalis live but in india and I am from darjeeling,neutral
I love my india ❤❤❤😊😊😊😊🎉🎉,positive
Hii rashi and mariyam and tanveer,neutral
"Vufig दिया जी
🎉फन",neutral
I am Indian proud Jay hind,positive
0:28,neutral
:28,neutral
I am muslim but I love 🇮🇳 🇮🇳,positive
I love india❤,positive
Im from india but barat mata ki jaiiiiiiiiiiiiiiiiiiiiiiii!!!,neutral
😮📠📟💿📀💾🖨️🖱️📱⌨️💻🖥️🎬☎️📞💽😭 gehdgdygfufyjtudhferi mera best friend,positive
I ❤ my  india,neutral
🎉🎉❤❤🎉🎉🎉❤❤❤,neutral
अबे चैनल वालों पूरा वन्देमातरम गाने में आप लोगों को दिक्कत क्या है ? कभी गुलामी की मानसिकता से बहार निकलो! शर्म करो,neutral
ആ മജിസ്ട്രേറ്റിന്റെ മുൻപിലേക്ക് എന്നെ കൊണ്ടുപോകന്ന തൊട്ടു മുൻപ് ഈ വരികളുടെ ഈണമാണ് ഞാൻ കേട്ടിരുന്നത് ആ സമയം എന്റെ ഉള്ളം കത്തുകയായിരുന്നു അവരിൽ നിന്ന് ചോദ്യങ്ങൾ പ്രതീക്ഷിച്ചു പക്ഷെ ഉണ്ടായില്ല പക്ഷെ എനിക്കി പോദിക്കാതിരിക്കാനാവുമോ ഞാൻ ആ മജിസ്ട്രേറ്റിനോട് ചോദിച്ചു നിങ്ങൾക്ക് മതമുണ്ടൊ എന്ന് അദ്ധേഹത്തിന്റെ ഉത്തരം എനിക്ക് തമാശ മാത്രമല്ല തോന്നിയത് കാരണം മതങ്ങളുടെ ക്രൂരകൃത്യങ്ങൾക്ക് കാവൽ ഇരിക്കുന്ന നീതി പീഠകസേരിയിൽ ഇരുന്നാണ് അദ്ധേഹം ആ വാക്ക് ഉരുവിട്ട് എന്റെ ബോധം അളക്കുവാൻ പറഞ്ഞു വിടുന്നത് അങ്ങനെയെങ്കിൽ ഈ രാജ്യത്തെ നീതിപീഠത്തിന്റെ ബോധം പരിശോധിക്കുവാൻ എവിടെയാണ് കൊണ്ടുപോകേണ്ടത് ഈ ഭൂമിയിൽ ഒരു സ്ഥാനം ഞാൻ കാണുന്നില്ല /,neutral
I love my India ❤❤,positive
"Ek hamara rahul gandhu hai jo Vande Mataram bolne se mana krta hai, sala deshdrohi.",neutral
Podar international school national anthem,neutral
❤❤❤❤❤,neutral
❤from🇵🇰to big brother 🇮🇳🌹✌🏻,neutral
This exact version of the National song is played at the end of school,positive
Jai hind jai bharat jai indian army jai hindustan ❤❤❤,neutral
👏👏❤️❤️🇳🇪🇳🇪,neutral
Wish you all who are  from Bangladesh ❤ happy independence day ❤,positive
So great full and thank full,positive
Me,neutral
Good night ❤,positive
200000 people relief pray samsun,positive
❤❤,neutral
Bharat mata ki jai ❤ may God bless our beautiful country 😊,positive
"ok,thanks,jay,hind",neutral
Love India❤Jai Hind,positive
Jai hind,neutral
I love India🇮🇳 and I respect india 🇮🇳,positive
Jai hind    vande mataram 🇮🇳🇮🇳🇮🇳🇮🇳,neutral
"Vande Mataram
e",neutral
I am from India and I respect india,positive
I am from India,neutral
Love🇮🇳,neutral
यह जो मोदी जी को बोल रहा है लड़का कर बोल रहा है चोर बोल रहा है इसका बाल विवाह कर इसको गधे पर घूमना चाहिए 50 जूता मारना चाहिए इसको जरा भी बड़े छोटे का विचार नहीं है ऐसे लड़के केवल भारत पर बोझ है इन्हें कड़ी से कड़ी सजा देनी चाहिए मोदी और योगी जी को ऐसे लड़के गद्दार निकलते हैं इनका पहले से इलाज होना जरूरी है वरना देश को बर्बाद कर देंगे जय हिंद जय भारत जय योगी जी जय मोदी जी,neutral
Bulbul teri maa ka bosda,neutral
Bulbul ki mkc,neutral
Good brother,positive
Comment india cad mah,neutral
Jai Hindustani ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤I love my Hindustani,positive
I am  from jharkhand happy independence day 🎆,positive
My favourite song❤❤❤❤❤❤❤❤❤❤❤❤❤ I am in India,neutral
Bharat jaisa koi ni,neutral
Jai hind,neutral
Mei rahu ya naa rahu desh rhna chahiya,neutral
i'm from hyderabad but i respect all-all india 😊❤❤❤❤❤❤❤❤❤❤❤❤❤❤,positive
हे खूप छान आहे nice,positive
JHY HIND 🇮🇳🦚,neutral
Bonjour amis movie's 🎥 company ❤,neutral
Every one 😊 🎉 ❤ respect India,positive
❤❤,neutral
Vande Mataram 🧡🧡🧡,neutral
❤❤❤,neutral
I am from multiverse ❤,neutral
Nice❤,neutral
❤❤❤❤❤ I Love this national song❤❤❤❤❤,positive
Aug 2025❤🎉,neutral
Our freedom fighters sung this before they got hanged by British,positive
"This National Song is played in my School❤❤❤ TEAM BHARAT❤
LIKE❤",positive
Who is watching on 2025,neutral
Jai hind,neutral
I❤️ మై ఇండియన్,neutral
Hear in 0.85,neutral
I am from India but I expect this time but in cricket India always win Pakistan also win,positive
🇮🇳🇮🇳🇮🇳🧡🤍💚,neutral
Vande Mataram ❤,neutral
1870,neutral
This should be made our national anthem instead of 'Jana Gana Mana' (That was written to appease British officer George V).,positive
Laanat 😡,neutral
This is actual vande mataram,neutral
10.000000,neutral
Jai hind🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,neutral
👍❤🙏IT MAKES US EXTREMELY PROUD TO BE HINDUS🙏❤👍,positive
Happy india independence day from usa.,positive
"❤❤ feeling proud
2025",positive
Vande mataram ❤,neutral
🎉,neutral
I am watching in 15 August 2025❤❤🇮🇳🇮🇳🇮🇳,neutral
It's so charming that the lyrics are heavily stuffed with Sanskrit script :),positive
वंदे मातरम 🌹😭,neutral
Cosvate GM cream,neutral
I like it😊,positive
JAI HIND 🇮🇳🇮🇳🇮🇳🥲,neutral
vande mataram 🇮🇳,neutral
Me,neutral
🇮🇳🇮🇳🇮🇳,neutral
I,neutral
I From bihar and i an proud to be indian ❤ l Love my India,positive
"Now is Indipendence day 15 August Friday today,I am writing it on 13:25pm",neutral
"Namaskaram swamy lord almighty God Shiva Shiva shamboo mahadeva our sadhguru Ji all everything I am always saranam namaskaram Isha 

Praise the lord shiva Jesus Christ Allah Isha Devi Shakti linga bhiravi Devi Namaskaram lord almighty God Shiva Shiva shamboo mahadeva adhiyogi Jesus Christ Allah Isha Shiva Devi Shakti linga bhiravi Devi kaali Amman Durga murugan perumal ganapathy saptharish's agasthiyar maa munivarare all swamy's swamy Ji's amma swamy mahaavatar babaji Ji our sadhguru Ji all everything I am always saranam namaskaram Isha kriya yoga and inner engineering program on sadhguru app download practice share it to all Miracle of mind app download practice share it to all the world namaskaram to all 🙏🧘🤣❤❤❤ Jai bharatham 🇮🇳 Jai hind 🇮🇳🇮🇳🇮🇳🧘🤣🙏 happy independence day to all...",positive
Doge matrem,neutral
🇮🇳🇮🇳🇮🇳🇮🇳,neutral
Jay  hind,neutral
Mai ye देशभक्तीचे ka rashtragan 58 years ga rahi hoo sharir ke kan kan me basa hai ye rashtragan ek student aur badme teacher ab retired fir bhi kahi bhi lagata hai to usko samman dene ke liye khade ho jate hai aur dil se gate bhi hai,neutral
❤🎉❤🎉❤🎉❤❤🎉,neutral
Me,neutral
ഇന്ത്യ 🇮🇳❤️,neutral
❤️🇮🇳🫡,neutral
beautiful song,positive
This song written by Bankim Chandra Chatterjee in Bengali,neutral
❤❤❤,neutral
This song written by Bankim Chandra Chatterjee in Bengali,neutral
Happy Independence day India from Bangladesh 💝,positive
Jay hind 🇮🇳🫡,neutral
"अलग-अलग रीति रिवाज अलग-अलग भाषा किंतु भारत तो है अपना एक,
चाहे उत्तर का हो चाहे दक्षिण का हो नि संदेह भारतवासी तो है प्रत्येक,
भारत की संस्कृति और सभ्यता सदियों पुरानी होकर भी है बिल्कुल नई,
जब चाहे तुम इसे महसूस कर सकते हो लगाकर बुद्धि और अपना विवेक|",neutral
I am from Ratlam Madhya pradesh,neutral
Good evening sir 🌅,positive
Kaun Kaun esko ringtone set Kar rha hai hamesh ke liye ❤❤❤🏃‍♂️,neutral
Ju,neutral
Who is watching 2026,neutral
Who is watching today??,neutral
"Jai Hind 🇮🇳
Vandematram 🇮🇳",neutral
Today is Independence Day,neutral
❤❤,neutral
❤❤❤❤,neutral
Kon kon 15 August 2025 me dekh raha he🇮🇳,neutral
Thanks,positive
Jai hind ❣️,neutral
Jay Hind 🙏🏻♥️🚩🌺🌹,neutral
Arjit,neutral
I am from USA and I love India❤❤❤❤❤❤,positive
I. Love to see 😻❤,positive
Happy independence day of india,positive
Kon kon ajj sun raha hai 🥹🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 jai hind 🇮🇳🇮🇳🇮🇳,neutral
Today aug15,neutral
👿😈🤬😡☠️💀 this video is 💩,neutral
Hey 2025🎉,neutral
Me,neutral
Me,neutral
Kon kon 2025 mai dekh raha hai,neutral
Thank you for this song,positive
"15/ಆಗಸ್ಟ್ /  2025
🌹🌹ಸ್ವಾತಂತ್ರ್ಯ  ದಿನೋತ್ಸವದ  ಶುಭಾಶಯಗಳು 🌹🌹
ವಂದೇ ಮಾತರಂ 🙏🙏🙏
ಜೈ ಹೋ ಸನಾತನ ಭಾರತ 
ಜೈ ಹೋ ನಮೋಜಿ 🙏🙏🙏",neutral
Happy Independent Day 🎉🎉🎉🎉🎉,positive
Me,neutral
Jay Hind❤❤❤❤❤,neutral
Aapka Bharath matha ki Jai ❤❤.....,neutral
Mera desh mera jivan,neutral
Tamil Nadu jai Hind Jay Bharat,neutral
India is the Guiness world record book world no 1 best country of the world.,positive
Happy Independence day in India of 79th Position,positive
"ನಮ್ಮ ದೇಶ, ಭಾಷೆ, ಮಣ್ಣು, ನೀರು, ಸಂಸ್ಕೃತಿಯನ್ನು ಪ್ರೀತಿಸುವ, ಇಷ್ಟಪಡುವ ಎಲ್ಲರಿಗೂ ಅಭಿನಂದನೆಗಳು. ಸ್ವಾತಂತ್ರ ದಿನಾಚರಣೆಯ ಶುಭಾಷಯಗಳು",neutral
15.8.2025,neutral
जय हिन्द वंदे मातरम् 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,neutral
Mujhe iski aawaj bahut pyari lgi that's great yrr❤,positive
And it's independence day morning 🇮🇳,neutral
Aaj kon kon dekh Raha hai... happy independence day ❤❤❤,positive
जय हिन्द 🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🙏,neutral
Meeee,neutral
15 August 2025 attendance here ❤😊,neutral
বন্দে মাতরম ❤❤❤,neutral
https://youtube.com/shorts/4yzlExEYMDM?si=kIMFrgDEdFaqZYwQ,neutral
Jai Hind 🇮🇳,neutral
Dear,positive
From delhi🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,neutral
Jai hind ❤❤❤,neutral
Thank you means a lot 😊😊,positive
Any one in 2025,neutral
Is this hindi,neutral
I love indians,positive
Vah Kya video,neutral
Vande mataram.❤,neutral
Mera Bharat Mahan Vande Mataram🇮🇳🇮🇳🇮🇳🇮🇳,neutral
I love india ❤🦌,positive
🎉❤🎉❤,neutral
Jai hind,neutral
❤❤❤❤❤,neutral
♥️♥️♥️♥️ഗുഡ് 🎉🎉🎉🎉🎉,neutral
😮😮😮😮😮😮,neutral
Djfinhdunpgpghbdnhxtbhfmzymd tingivug ujjhiuhgighhyjhh,neutral
Me,neutral
🇮🇳🇮🇳🇮🇳,neutral
My India,neutral
Vande mataram india ka national song h,neutral
I am pakistan,neutral
jidirie8v8g8y8yu8j8jt9h9j8j,neutral
Respect to Bamkim Chandra Chattopadhyay,positive
I am from Mars but I respect India ☺️,positive
🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾🇵🇾,neutral
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,neutral
I am,neutral
❤️❤️,neutral
Iam from America but I respect india❤,positive
നല്ല പാട്ട്,neutral
